工具ID,工具名称,工具英文名,分类,描述,官网链接,起步月费,起步年费,免费层说明,Affiliate链接,佣金比例,Tier,BestFor,状态,最后核验日期,备注,价格模式,套餐说明
jasper,Jasper AI,Jasper AI,写作助手,"AI writing assistant for marketing — blog posts, ad copy, social media content at scale",https://www.jasper.ai/,49,396,7-day free trial,https://www.jasper.ai/?utm_source=solostack.ai,,A级,创作者;专业用户;企业,上线,,,,
grammarly,Grammarly,Grammarly,写作助手,"AI writing assistant — grammar, spelling, tone, and clarity checks for all your writing",https://www.grammarly.com/,12,84,Basic checks free,https://www.grammarly.com/?utm_source=solostack.ai,,B级,创作者;专业用户;新手;企业,上线,,,,
notion-ai,Notion AI,Notion AI,写作助手,"All-in-one workspace with AI writing — notes, docs, and project management combined",https://notion.so/,10,96,Free tier available,https://notion.so/?utm_source=solostack.ai,,B级,创作者;专业用户;新手,上线,,,,
writesonic,Writesonic,Writesonic,写作助手,"AI writing tool — blog posts, product descriptions, ad copy with SEO optimization",https://writesonic.com/,19,156,10K words/month free,https://writesonic.com/?utm_source=solostack.ai,,B级,创作者;企业;新手,上线,,,,
pictory,Pictory AI,Pictory AI,视频生成,"AI video creation — turn blog posts, scripts, and articles into engaging short videos",https://pictory.ai/,23,228,3 videos/month free,https://pictory.ai/?utm_source=solostack.ai,,A级,创作者;企业,上线,,,,
murf,Murf AI,Murf AI,视频生成,AI voice generator — realistic text-to-speech with 120+ voices in 20+ languages,https://murf.ai/,19,156,10 min voice generation free,https://murf.ai/?utm_source=solostack.ai,,B级,创作者;企业,上线,,,,
n8n,n8n,n8n,开发工具,Workflow automation platform — connect 400+ apps with visual or code-based workflows,https://n8n.io/,24,240,Self-hosted free,https://n8n.io/?utm_source=solostack.ai,,B级,专业用户;企业;新手,上线,,,,
tubebuddy,TubeBuddy,TubeBuddy,其他,"YouTube growth toolkit — keyword research, A/B testing, bulk processing, and SEO optimization",https://www.tubebuddy.com/,9,72,Free starter plan,https://www.tubebuddy.com/?utm_source=solostack.ai,,B级,创作者,上线,,,,
surfer-seo,Surfer SEO,Surfer SEO,其他,"AI-powered SEO optimization — content editor, SERP analyzer, and keyword research",https://surferseo.com/,89,708,None,https://surferseo.com/?utm_source=solostack.ai,,A级,创作者;专业用户,上线,,,,
elevenlabs,ElevenLabs,ElevenLabs,视频生成,"AI voice generation — multilingual, voice cloning, and podcast narration",https://elevenlabs.io/,22,264,10K chars/month free,https://elevenlabs.io/?utm_source=solostack.ai,,A级,创作者;企业,上线,,,,
